latitude,longitude,freeboard,segment_length,Thickness (m)
-71.49960721,-40.00912715,0.18,25.481464,0.72
-71.49971035,-40.00916874,0.18,24.072323,0.72
-71.49980205,-40.00920532,0.2,21.244799,0.79
-71.49989744,-40.00924326,0.21,20.539993,0.83
-71.49998152,-40.00927664,0.21,20.542137,0.83
-71.50006671,-40.0093104,0.21,19.836878,0.83
-71.50015634,-40.00934592,0.22,21.255138,0.86
-71.5002555,-40.00938523,0.22,20.543205,0.86
-71.50033405,-40.00941639,0.22,18.416573,0.86
-71.5004154,-40.00944874,0.22,20.538435,0.86
-71.50052417,-40.00949209,0.23,21.951632,0.9
-71.50060084,-40.00952272,0.24,18.411488,0.94
-71.50067229,-40.00955137,0.22,16.988157,0.86
-71.50074833,-40.00958195,0.21,16.990843,0.83
-71.50082074,-40.00961107,0.22,16.281752,0.86
-71.50088926,-40.00963881,0.23,17.686861,0.9
-71.50097089,-40.00967224,0.26,17.670965,1.01
-71.50104548,-40.00970298,0.27,18.38012,1.04
-71.50114494,-40.00974413,0.3,21.90844,1.15
-71.50123972,-40.00978349,0.31,21.198257,1.19
-71.5013243,-40.00981873,0.35,19.080307,1.33
-71.50139973,-40.00985025,0.42,17.663586,1.59
-71.50147069,-40.00987996,0.44,19.076797,1.66
-71.50158025,-40.00992593,0.36,24.024538,1.37
-71.50169165,-40.00997273,0.32,24.02583,1.23
-71.50178474,-40.01001189,0.3,21.909887,1.15
-71.50188191,-40.0100528,0.27,20.504168,1.04
-71.50195311,-40.01008277,0.27,19.088396,1.04
-71.50204716,-40.01012238,0.28,24.040968,1.08
-71.50218947,-40.01018212,0.29,27.597143,1.12
-71.50229569,-40.01022652,0.27,24.079464,1.04
-71.5023803,-40.01026183,0.25,19.832071,0.97
-71.50245168,-40.01029157,0.25,19.12522,0.97
-71.50255141,-40.01033303,0.29,21.959845,1.12
-71.50264496,-40.01037185,0.3,21.95954,1.15
-71.50275007,-40.01041539,0.25,23.374273,0.97
-71.50284741,-40.01045561,0.22,22.66336,0.86
-71.50293774,-40.01049287,0.23,20.537195,0.9
-71.5030382,-40.01053425,0.24,21.950052,0.94
-71.50313099,-40.01057238,0.23,24.776937,0.9
-71.50325403,-40.01062285,0.2,24.785172,0.79
-71.50334578,-40.01066042,0.22,22.646017,0.86
-71.50344054,-40.01069916,0.24,22.626345,0.94
-71.50354593,-40.01074215,0.23,24.726776,0.9
-71.50367842,-40.01079615,0.23,30.372198,0.9
-71.50383169,-40.01085851,0.24,33.200607,0.94
-71.50395633,-40.01090918,0.22,28.2592,0.86
-71.50406761,-40.01095438,0.23,26.853384,0.9
-71.50419475,-40.01100602,0.24,26.157679,0.94
-71.50429622,-40.01104721,0.22,25.458054,0.86
